instrument_id,instrument_name
0,Acoustic Grand
1,Bright Acoustic
2,Electric Grand
3,Honky-Tonk
4,Electric Piano 1
5,Electric Piano 2
6,Harpsichord
7,Clavinet
8,Celesta
9,Glockenspiel
10,Music Box
11,Vibraphone
12,Marimba
13,Xylophone
14,Tubular Bells
15,Dulcimer
16,Drawbar Organ
17,Percussive Organ
18,Rock Organ
19,Church Organ
20,Reed Organ
21,Accordion
22,Harmonica
23,Tango Accordion
24,Nylon String Guitar
25,Steel String Guitar
26,Electric Jazz Guitar
27,Electric Clean Guitar
28,Electric Muted Guitar
29,Overdriven Guitar
30,Distortion Guitar
31,Guitar Harmonics
32,Acoustic Bass
33,Electric Bass (finger)
34,Electric Bass (pick)
35,Fretless Bass
36,Slap Bass 1
37,Slap Bass 2
38,Synth Bass 1
39,Synth Bass 2
40,Violin
41,Viola
42,Cello
43,Contrabass
44,Tremolo Strings
45,Pizzicato Strings
46,Orchestral Strings
47,Timpani
48,String Ensemble 1
49,String Ensemble 2
50,SynthStrings 1
51,SynthStrings 2
52,Choir Aahs
53,Voice Oohs
54,Synth Voice
55,Orchestra Hit
56,Trumpet
57,Trombone
58,Tuba
59,Muted Trumpet
60,French Horn
61,Brass Section
62,SynthBrass 1
63,SynthBrass 2
64,Soprano Sax
65,Alto Sax
66,Tenor Sax
67,Baritone Sax
68,Oboe
69,English Horn
70,Bassoon
71,Clarinet
72,Piccolo
73,Flute
74,Recorder
75,Pan Flute
76,Blown Bottle
77,Shakuhachi
78,Whistle
79,Ocarina
80,Square Wave
81,Saw Wave
82,Syn. Calliope
83,Chiffer Lead
84,Charang
85,Solo Vox
86,5th Saw Wave
87,Bass & Lead
88,Fantasia
89,Warm Pad
90,Polysynth
91,Space Voice
92,Bowed Glass
93,Metal Pad
94,Halo Pad
95,Sweep Pad
96,Ice Rain
97,Soundtrack
98,Crystal
99,Atmosphere
100,Brightness
101,Goblin
102,Echo Drops
103,Star Theme
104,Sitar
105,Banjo
106,Shamisen
107,Koto
108,Kalimba
109,Bagpipe
110,Fiddle
111,Shanai
112,Tinkle Bell
113,Agogo
114,Steel Drums
115,Woodblock
116,Taiko Drum
117,Melodic Tom
118,Synth Drum
119,Reverse Cymbal
120,Guitar Fret Noise
121,Breath Noise
122,Seashore
123,Bird Tweet
124,Telephone Ring
125,Helicopter
126,Applause
127,Gunshot
